stress_level_min,stress_level_max,muscle_category,calories_min,calories_max,exercise,exercise_intensity,estimated_calories_burned_30min,research_basis
1,1,shoulders,2200,3000,Push Press,1,1,1
2,2,shoulders,1800,2500,Push Press,1,1,1
3,3,shoulders,1500,2200,Push Press,1,1,1
1,1,shoulders,2200,3000,Overhead Barbell Press,1,1,1
2,2,shoulders,1800,2500,Overhead Barbell Press,1,1,1
3,3,shoulders,1500,2200,Overhead Barbell Press,1,1,1
1,1,shoulders,2200,3000,Arnold Press,1,1,1
2,2,shoulders,1800,2500,Arnold Press,1,1,1
3,3,shoulders,1500,2200,Arnold Press,1,1,1
1,1,shoulders,2200,3000,Seated Dumbbell Press,1,1,1
2,2,shoulders,1800,2500,Seated Dumbbell Press,1,1,1
3,3,shoulders,1500,2200,Seated Dumbbell Press,1,1,1
1,1,shoulders,2200,3000,Lateral Raises,1,1,1
2,2,shoulders,1800,2500,Lateral Raises,1,1,1
3,3,shoulders,1500,2200,Lateral Raises,1,1,1
1,1,shoulders,2200,3000,Front Raises,1,1,1
2,2,shoulders,1800,2500,Front Raises,1,1,1
3,3,shoulders,1500,2200,Front Raises,1,1,1
1,1,shoulders,2200,3000,Machine Shoulder Press,1,1,1
2,2,shoulders,1800,2500,Machine Shoulder Press,1,1,1
3,3,shoulders,1500,2200,Machine Shoulder Press,1,1,1
1,1,shoulders,2200,3000,Band Shoulder Raises,1,1,1
2,2,shoulders,1800,2500,Band Shoulder Raises,1,1,1
3,3,shoulders,1500,2200,Band Shoulder Raises,1,1,1
1,1,chest,2200,3000,Barbell Bench Press,1,1,1
2,2,chest,1800,2500,Barbell Bench Press,1,1,1
3,3,chest,1500,2200,Barbell Bench Press,1,1,1
1,1,chest,2200,3000,Incline Bench Press,1,1,1
2,2,chest,1800,2500,Incline Bench Press,1,1,1
3,3,chest,1500,2200,Incline Bench Press,1,1,1
1,1,chest,2200,3000,Dumbbell Bench Press,1,1,1
2,2,chest,1800,2500,Dumbbell Bench Press,1,1,1
3,3,chest,1500,2200,Dumbbell Bench Press,1,1,1
1,1,chest,2200,3000,Push-Ups,1,1,1
2,2,chest,1800,2500,Push-Ups,1,1,1
3,3,chest,1500,2200,Push-Ups,1,1,1
1,1,chest,2200,3000,Cable Fly,1,1,1
2,2,chest,1800,2500,Cable Fly,1,1,1
3,3,chest,1500,2200,Cable Fly,1,1,1
1,1,chest,2200,3000,Chest Fly Machine,1,1,1
2,2,chest,1800,2500,Chest Fly Machine,1,1,1
3,3,chest,1500,2200,Chest Fly Machine,1,1,1
1,1,chest,2200,3000,Paused Bench Press,1,1,1
2,2,chest,1800,2500,Paused Bench Press,1,1,1
3,3,chest,1500,2200,Paused Bench Press,1,1,1
1,1,legs,2200,3000,Back Squat,1,1,1
2,2,legs,1800,2500,Back Squat,1,1,1
